Title,Price (€),Square Meters,Number of Rooms,City,Municipality,Neighborhood,Street,Floor,Number of Floors,Advertiser Type,Date Posted,Link
"Đeram, Bulevar kralja Aleksandra, retko u ponudi,",850,40,2,Beograd,Opština Zvezdara,Vukov Spomenik,Bulevar Kralja Aleksandra,II,7,Agency,3/29/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/djeram-bulevar-kralja-aleksandra-retko-u-ponu/5425646958442?kid=4
Medaković 1 Torlačka,200,20,1,Beograd,Opština Voždovac,Medaković 1,Torlačka,PR,1,Owner,3/29/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/medakovic-1-torlacka/5425646961466
Izdajem stan na Dorćolu,600,40,1,Beograd,Opština Stari grad,Dorćol,Žorža Klemansoa,I,6,Owner,3/29/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/izdajem-stan-na-dorcolu/5425645151033?kid=4
Izdajem Lux prelep opremljen stan,450,38,2,Beograd,Opština Voždovac,Medaković 1,Hanibala Lucića,,,Owner,3/29/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/izdajem-lux-prelep-opremljen-stan/5425646463920?kid=4
Izdajem nov jednosoban stan u Krnjaci kod metroa,350,34,1,Beograd,Opština Palilula,Krnjača,Partizanski blok ulica 1.,II,2,Owner,3/29/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/izdajem-nov-jednosoban-stan-u-krnjaci-kod-met/5425646961852?kid=4
Zemun - Gornji grad #66829,500,52,2,Beograd,Opština Zemun,Gornji grad,Gornjogradska,II,4,Agency,3/29/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/zemun---gornji-grad-66829/5425646892469?kid=4
Zemun - Centar #63390,700,150,3,Beograd,Opština Zemun,Centar,Cetinjska,I,2,Agency,3/29/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/zemun---centar-63390/5425646958438?kid=4
Dragoslava Srejovica ( Green residence),650,47,2,Beograd,Opština Palilula,Hala Pionir,Dragoslava Srejovića 2E ( Pepco),I,8,Owner,3/29/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/dragoslava-srejovica-green-residence/5425646961356
Kneza Danila Tasmajdan bez buke komforan namesten,600,55,2,Beograd,Opština Palilula,Poštanska štedionica,Kneza Danila,VPR,,Owner,3/29/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/kneza-danila-tasmajdan-bez-buke-komforan-name/5425645690109?kid=4
Trosoban stan kod Voždovačke crkve-Video,600,72,3,Beograd,Opština Voždovac,Voždovačka crkva,Vojvode Stepe,III,5,Agency,3/29/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/trosoban-stan-kod-vozdovacke-crkve-video/5425645675212?kid=4
Centar - Beograd na Vodi BW #66576,1000,50,2,Beograd,Opština Savski venac,Beograd na vodi,Bulevar Vudroa Vilsona,II,17,Agency,3/29/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/centar---beograd-na-vodi-bw-66576/5425646879494?kid=4
Centar - Beograd na vodi BW #66554,800,35,1,Beograd,Opština Savski venac,Beograd na vodi,Bulevar Vudroa Vilsona,V,15,Agency,3/29/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/centar---beograd-na-vodi-bw-66554/5425646857585?kid=4
Bele Vode 2.0 ekskluzivno,350,40,2,Beograd,Opština Čukarica,Bele vode,Momčila Čedića,III,3,Owner,3/29/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/bele-vode-2-0-ekskluzivno/5425646094634?kid=4
Stan 2.0 46m2 Konjarnik,400,46,2,Beograd,Opština Zvezdara,Konjarnik,Mihaila Todorovića,I,4,Owner,3/29/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/stan-2-0-46m2-konjarnik/5425646959301?kid=4
"Blok 30, 2.0,renoviran,useljiv ID#19157",600,43,2,Beograd,Opština Novi Beograd,Blok 30 (B92),Bulevar Mihajla Pupina,XII,16,Agency,3/29/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/blok-30-2-0-renoviran-useljiv-id19157/5425646832573?kid=4
Izdajem nov stan !,350,27,0.5,Beograd,Opština Čukarica,Žarkovo,Spasovdanska,I,3,Owner,3/29/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/izdajem-nov-stan/5425644321485?kid=4
Alekse Nenadovica jednoiposoban stan,450,35,1.5,Beograd,Opština Vračar,Slavija,Alekse Nenadovića,VPR,4,Owner,3/29/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/alekse-nenadovica-jednoiposoban-stan/5425646960548?kid=4
"Sređen, moderan dvosoban u stan u Južnom bulevaru",750,51,2,Beograd,Opština Vračar,Južni bulevar,Južni bulevar,VI,8,Owner,3/29/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/sredjen-moderan-dvosoban-u-stan-u-juznom-bule/5425642987104?kid=4
Centar - Beograd na vodi BW #66619,900,33,1,Beograd,Opština Savski venac,Beograd na vodi,Bulevar Vudroa Vilsona,IV,17,Agency,3/29/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/centar---beograd-na-vodi-bw-66619/5425646892467?kid=4
Braće Jerković 52m2,400,52,2,Beograd,Opština Voždovac,Braće Jerković,Vladimira Mitrovica 34,II,3,Owner,3/29/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/brace-jerkovic-52m2/5425646013137?kid=4
Stan na Zrenjaniskom putu,380,52,1.5,Beograd,Opština Palilula,Krnjača,Zrenjaninski put,,,Owner,3/29/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/stan-na-zrenjaniskom-putu/5425646960542?kid=4
Centar - Beograd na vodi BW #64254,1500,72,3,Beograd,Opština Savski venac,Beograd na vodi,Luke Celovica Trebinjca,V,12,Agency,3/29/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/centar---beograd-na-vodi-bw-64254/5425646070090?kid=4
"Nov, neuseljavan, trosoban",550,57,3,Beograd,Opština Zvezdara,Mali Mokri Lug,Partizanska,PR,,Agency,3/29/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/nov-neuseljavan-trosoban/5425646959267?kid=4
"Dvosoban stan, 45m² sa parking mestom uključenim",500,45,2,Beograd,Opština Zemun,Novi grad,Ševina,II,3,Owner,3/29/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/dvosoban-stan-45m-sa-parking-mestom-ukljuceni/5425646959460?kid=4
Dedinje Renoviran Garaža + Parking mesto,850,60,3,Beograd,Opština Savski venac,Dedinje,Bulevar Kneza Aleksandra Karađorđevića,I,5,Agency,3/29/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/dedinje-renoviran-garaza-parking-mesto/5425646248701?kid=4
"Centar,Milutina Bojića,useljiv ID#86655",400,35,1,Beograd,Opština Stari grad,Centar,Palmotićeva,II,,Agency,3/29/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/centar-milutina-bojica-useljiv-id86655/5425646958422?kid=4
Novi Beograd - Arena Blok 22 #66608,700,45,2,Beograd,Opština Novi Beograd,Blok 22,Bulevar Arsenija Čarnojevića,IV,7,Agency,3/29/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/novi-beograd---arena-blok-22-66608/5425646920781?kid=4
Novi Beograd - Blok 63 #66822,420,35,1,Beograd,Opština Novi Beograd,Blok 63,Gandijeva,II,9,Agency,3/29/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/novi-beograd---blok-63-66822/5425646958421?kid=4
"NEW, 4.0, LUX, Vracar, Crveni krst",1200,80,4,Beograd,Opština Vračar,Crveni krst,Metohijska,II,6,Owner,3/29/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/new-4-0-lux-vracar-crveni-krst/5425646960033?kid=4
Novi Beograd - Wellport kula #66141,650,35,1,Beograd,Opština Novi Beograd,Blok 65,Tadije Sondermajera,I,30,Agency,3/29/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/novi-beograd---wellport-kula-66141/5425646888286?kid=4
Izdajem jednosoban stan,290,37,1,Beograd,Opština Zemun,Autoput za Zagreb,Joze Scurle 15 u,I,2,Owner,3/29/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/izdajem-jednosoban-stan/5425646959433?kid=4
"NOVI DORCOL, 150m2, izezetan, sa 2 garazna mesta!",3700,150,4,Beograd,Opština Stari grad,Dorćol,Venizelosova,XII,,Agency,3/29/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/novi-dorcol-150m2-izezetan-sa-2-garazna-mesta/5425644882569?kid=4
Stan,560,32,2,Beograd,Opština Zvezdara,Cvetkova pijaca,Olge Jovanović 16,I,6,Owner,3/29/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/stan/5425645720450?kid=4
Kompletno namešten 2.0 stan – Stari Merkator ID#26,550,62,2,Beograd,Opština Novi Beograd,Stari Merkator,Gramšijeva,III,5,Agency,3/28/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/kompletno-namesten-2-0-stan-stari-merkator-id/5425646956889?kid=4
Potpuno namešten trosoban stan – odmah useljiv,850,70,3,Beograd,Opština Vračar,Crveni krst,Sazonova,PR,3,Owner,3/28/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/potpuno-namesten-trosoban-stan-odmah-useljiv/5425646925289?kid=4
Centar - Beograd na vodi BW #64750,1100,62,2,Beograd,Opština Savski venac,Beograd na vodi,Bulevar Vudroa Vilsona,VII,17,Agency,3/28/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/centar---beograd-na-vodi-bw-64750/5425646201255?kid=4
Centar - Stari grad #62649,450,42,2,Beograd,Opština Stari grad,Bajlonijeva pijaca,Bulevar Despota Stefana,VPR,3,Agency,3/28/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/centar---stari-grad-62649/5425646901213?kid=4
Bežanijska kosa - Bezanijska kosa 2 #66821,2000,300,5,Beograd,Opština Novi Beograd,Bežanijska kosa 2,Bezanijskih Ilegalaca,VPR,2,Agency,3/28/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/bezanijska-kosa---bezanijska-kosa-2-66821/5425646956870?kid=4
Centar - Beograd na vodi BW #66694,1400,90,3,Beograd,Opština Savski venac,Beograd na vodi,Hercegovacka,X,17,Agency,3/28/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/centar---beograd-na-vodi-bw-66694/5425646827079?kid=4
Širi centar - Dedinje #66823,2200,200,5,Beograd,Opština Savski venac,Dedinje,Tolstojeva,I,2,Agency,3/28/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/siri-centar---dedinje-66823/5425646858780?kid=4
Širi centar - Rakovica #66828,360,46,2,Beograd,Opština Rakovica,Centar,Kneževačka,IV,5,Agency,3/28/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/siri-centar---rakovica-66828/5425646924703?kid=4
Novi Beograd - Blok 70 #66728,500,61,2,Beograd,Opština Novi Beograd,Blok 70 (kineski tržni centar),Jurija Gagarina,III,11,Agency,3/28/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/novi-beograd---blok-70-66728/5425646926017?kid=4
Novi Beograd - Staro sajmiste #65081,500,70,3,Beograd,Opština Novi Beograd,Blok 18 (Staro sajmište),Zarija Vujosevica,VPR,1,Agency,3/28/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/novi-beograd---staro-sajmiste-65081/5425646952534?kid=4
Zemun - Pregrevica #66711,1100,85,4,Beograd,Opština Zemun,Gornji grad,Pregrevica,I,2,Agency,3/28/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/zemun---pregrevica-66711/5425646898730?kid=4
+Zvezdara-Bulbulder-VN 019,550,49,2.5,Beograd,Opština Zvezdara,Bulbulder,Bore Prodanovića,III,5,Agency,3/28/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/zvezdara-bulbulder-vn-019/5425646956545?kid=4
"Crveni krst, 1-sob. sređen, CG, lspr.",450,33,1,Beograd,Opština Vračar,Crveni krst,Jovana Rajića,I,3,Agency,3/28/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/crveni-krst-1-sob-sredjen-cg-lspr/5425646685585?kid=4
"Od 1. aprila, kirija + rezija",430,40,2,Beograd,Opština Zvezdara,Cvetkova pijaca,Subotička,III,5,Owner,3/28/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/od-1-aprila-kirija-rezija/5425646956533?kid=4
"Izuzetna lokacija, lux tek renoviran-Vračar 018",294900,75,3,Beograd,Opština Vračar,Južni bulevar,Sime Igumanova,V,10,Agency,3/28/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/izuzetna-lokacija-lux-tek-renoviran-vracar-01/5425646956236?kid=4
BW Scala lux izdavanje pogled na park,1200,53,2,Beograd,Opština Savski venac,Beograd na vodi,Luke Ćelovića Trebinjca,III,13,Agency,3/28/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/bw-scala-lux-izdavanje-pogled-na-park/5425646956531
"Bw Residences, pogled na reku, bazen, teretana",2500,94,3,Beograd,Opština Savski venac,Beograd na vodi,Hercegovacka,III,,Agency,3/28/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/bw-residences-pogled-na-reku-bazen-teretana/5425646665250?kid=4
BW Terraces lux stan izdavanje,3000,120,3,Beograd,Opština Savski venac,Beograd na vodi,Hercegovačka,VIII,16,Agency,3/28/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/bw-terraces-lux-stan-izdavanje/5425646956519
"Novi Beograd, pet friendly",700,72,2,Beograd,Opština Novi Beograd,Blok 45 (TC Enjub),Jurija Gagarina,III,,Agency,3/28/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/novi-beograd-pet-friendly/5425646956421?kid=4
"Izdavanje stana, Mirijevo 38m2",350,38,1.5,Beograd,Opština Zvezdara,Mirijevo,Šejkina,IV,4,Owner,3/28/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/izdavanje-stana-mirijevo-38m2/5425643178723?kid=4
Nov stan Altina 42m2,500,42,2,Beograd,Opština Zemun,Altina,Ugrinovački put 30. deo broj 34,VPR,3,Owner,3/28/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/nov-stan-altina-42m2/5425646612413
"Zemun, Prvomajska, Marije Bursać",520,58,2.5,Beograd,Opština Zemun,Prvomajska,Marije Bursać,VPR,4,Agency,3/28/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/zemun-prvomajska-marije-bursac/5425646953461?kid=4
Novi Beograd - Ledine #66408,400,41,2,Beograd,Opština Novi Beograd,Ledine,,I,4,Agency,3/28/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/novi-beograd---ledine-66408/5425646821650?kid=4
"Nov neuseljavan stan, 43,5m2 +terasa+parking.",790,43,2,Beograd,Opština Savski venac,Svetozara Markovića,,VI,7,Agency,3/28/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/nov-neuseljavan-stan-43-5m2-terasaparking/5425646918101?kid=4
"Višnjica, Lovačka",370,44,2,Beograd,Opština Palilula,Višnjica,Lovačka,PR,4,Agency,3/28/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/visnjica-lovacka/5425646953444?kid=4
"Karaburma, niski troškovi",300,30,1,Beograd,Opština Palilula,Karaburma,Salvadora Aljendea,VPR,,Agency,3/28/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/karaburma-niski-troskovi/5425646956295?kid=4
"Voždovac, Vojvode Stepe, 50m2,2.0 #4469",550,50,2,Beograd,Opština Voždovac,Vojvode Stepe,Vojvode Stepe,II,5,Agency,3/28/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/vozdovac-vojvode-stepe-50m2-2-0-4469/5425646952544
BW Aurora otvoreni pogled na reku,1100,57,2,Beograd,Opština Savski venac,Beograd na vodi,Bulevar Vudroa Vilsona,,,Agency,3/28/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/bw-aurora-otvoreni-pogled-na-reku/5425646651989?kid=4
"Stari grad, Dorćol, Mike Alasa",750,60,2,Beograd,Opština Stari grad,Dorćol,Mike Alasa,V,8,Agency,3/28/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/stari-grad-dorcol-mike-alasa/5425646953438?kid=4
BW Aria izdavanje,1200,63,2,Beograd,Opština Savski venac,Beograd na vodi,Bulevar Vudroa Vilsona,VII,,Agency,3/28/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/bw-aria-izdavanje/5425646868429?kid=4
Centar - Djeram #66562,550,48,2,Beograd,Opština Zvezdara,Đeram pijaca,Đevđelijska,I,6,Agency,3/28/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/centar---djeram-66562/5425646826316?kid=4
Izdaje se stan na extra lokaciji,400,53,1.5,Beograd,Opština Savski venac,Beograđanka,Resavska,PSUT,6,Owner,3/28/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/izdaje-se-stan-na-extra-lokaciji/5425646956097?kid=4
Novi Beograd - Airport Garden #66406,600,35,1,Beograd,Opština Novi Beograd,Blok 65,Đorđa Stanojevića,V,10,Agency,3/28/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/novi-beograd---airport-garden-66406/5425646858809?kid=4
BW Residences pogled na reku izdavanje,1500,63,2,Beograd,Opština Savski venac,Beograd na vodi,Hercegovačka,IV,,Agency,3/28/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/bw-residences-pogled-na-reku-izdavanje/5425645882266?kid=4
Garsonjera - Ivana Ribara,350,41,1,Beograd,Opština Novi Beograd,Blok 71,,PR,,Agency,3/28/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/garsonjera---ivana-ribara/5425646734314?kid=4
Lux nov i komplet opremljen stan na Crvenom Krstu,800,50,2,Beograd,Opština Vračar,Crveni krst,Dravska,IV,7,Agency,3/28/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/lux-nov-i-komplet-opremljen-stan-na-crvenom-k/5425646681313?kid=4
Stan na Vračaru blizu Tašmajdana; Pet friendly;,600,40,1,Beograd,Opština Vračar,Bulevar kralja Aleksandra,Bulevar kralja Aleksandra,V,6,Owner,3/28/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/stan-na-vracaru-blizu-tasmajdana-pet-friendly/5425644802413?kid=4
"Novi Beograd-West 65,garaza",1000,56,2,Beograd,Opština Novi Beograd,Blok 65,Omladinskih brigada,V,7,Agency,3/28/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/novi-beograd-west-65-garaza/5425646922610?kid=4
Širi centar - Palilula borca #66378,300,55,2,Beograd,Opština Palilula,Borča,Ratnih Vojnih Invalida,VI,7,Agency,3/28/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/siri-centar---palilula-borca-66378/5425646814091?kid=4
Širi centar - Brace jerkovic #66462,380,50,3,Beograd,Opština Voždovac,Braće Jerković,Vojvode Vlahovica,I,4,Agency,3/28/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/siri-centar---brace-jerkovic-66462/5425646847251?kid=4
Novi Beograd - Arena #66692,600,45,2,Beograd,Opština Novi Beograd,Blok 30 (B92),Bulevar Zorana Đinđića,II,10,Agency,3/28/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/novi-beograd---arena-66692/5425646912732?kid=4
Centar - Palilula #66702,500,52,2.5,Beograd,Opština Palilula,Profesorska kolonija,Čarlija Čaplina,IV,6,Agency,3/28/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/centar---palilula-66702/5425646892466?kid=4
+ Zvezdara sf 68,300,25,0.5,Beograd,Opština Zvezdara,Dimitrija Tucovića,Dimitrija Tucovica,II,5,Agency,3/28/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/zvezdara-sf-68/5425646942783
+ savski venac sf 62,1100,55,2,Beograd,Opština Savski venac,Beograd na vodi,bulevar vudroa vilsona,XI,,Agency,3/28/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/savski-venac-sf-62/5425646749550?kid=4
+ savski venac 64,400,22,0.5,Beograd,Opština Savski venac,VMA,Mihaila Avramovica,VPR,,Agency,3/28/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/savski-venac-64/5425646771290?kid=4
Stan 25m2,350,25,0.5,Beograd,Opština Zvezdara,Konjarnik,Biljane Jovanović 2c,II,5,Owner,3/28/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/stan-25m2/5425646955792?kid=4
Nov premum stan na Altini,600,62,3,Beograd,Opština Zemun,Altina,Simona Bolivara,II,4,Owner,3/28/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/nov-premum-stan-na-altini/5425646113270?kid=4
"Senjak, 1.5, kod BIGZ-a, useljiv odmah",500,38,1.5,Beograd,Opština Savski venac,Mostarska petlja,Sitnička,I,5,Owner,3/28/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/senjak-1-5-kod-bigz-a-useljiv-odmah/5425644468349?kid=4
Dvosoban stan u Mirijevu,450,56,2,Beograd,Opština Zvezdara,Mirijevo,Rudi Čajaveca 35v,II,3,Owner,3/28/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/dvosoban-stan-u-mirijevu/5425646955386?kid=4
"Dedinje 2.0 luks, 45m2 sa terasom, parking",800,45,2,Beograd,Opština Savski venac,Dedinje,Majora Jagodića,II,,Agency,3/28/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/dedinje-2-0-luks-45m2-sa-terasom-parking/5425646851604?kid=4
"Mirijevo 1.5, 40m2 sa dvorištem/ terasom 18m2",450,58,1.5,Beograd,Opština Zvezdara,Mirijevo,Jovanke Radaković,PR,4,Agency,3/28/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/mirijevo-1-5-40m2-sa-dvoristem-terasom-18m2/5425646851381?kid=4
"Skadarlija 90m2, komforan 3.0 salonac u srcu grada",800,90,3,Beograd,Opština Stari grad,Skadarlija,Skadarska,IV,6,Agency,3/28/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/skadarlija-90m2-komforan-3-0-salonac-u-srcu-g/5425646800351?kid=4
Tek renoviran stan. Mirijevski venac,380,50,2,Beograd,Opština Zvezdara,Mirijevo,,VI,8,Agency,3/28/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/tek-renoviran-stan-mirijevski-venac/5425646669754?kid=4
Vozdovac kod Darvinove poste Odlican,400,40,1.5,Beograd,Opština Voždovac,Darvinova pošta,Ljuba Vučkovića,V,,Agency,3/28/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/vozdovac-kod-darvinove-poste-odlican/5425646954275?kid=4
Izdajem stan u centru- Terazije,650,55,2.5,Beograd,Opština Stari grad,Zeleni venac,Zeleni venac,V,6,Owner,3/28/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/izdajem-stan-u-centru--terazije/5425646642179?kid=4
2.5 nov opremljen stan kod Metro Krnjaca sa park m,500,51,2.5,Beograd,Opština Palilula,Pančevački most,Partizanski Blok ulica 1,VI,6,Owner,3/27/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/2-5-nov-opremljen-stan-kod-metro-krnjaca-sa-p/5425636999750?kid=4
